Sr. No.,District,Corporation,Ward,Scheme Name,Total Scholarship Amount,,,,
1,Thane,Navi Mumbai Municipal Corporation,Airoli,Scholarship to economically weaker section school students from first standard to college students ,17952198,,,,
2,Thane,Navi Mumbai Municipal Corporation,Koperkhairane,Scholarship to economically weaker section school students from first standard to college students ,41798603,,,,
3,Thane,Navi Mumbai Municipal Corporation,Ghansoli,Scholarship to economically weaker section school students from first standard to college students ,34652903,,,,
4,Thane,Navi Mumbai Municipal Corporation,Turbhe,Scholarship to economically weaker section school students from first standard to college students ,23619611,,,,
5,Thane,Navi Mumbai Municipal Corporation,Digha,Scholarship to economically weaker section school students from first standard to college students ,21656543,,,,
6,Thane,Navi Mumbai Municipal Corporation,Nerul,Scholarship to economically weaker section school students from first standard to college students ,28314734,,,,
7,Thane,Navi Mumbai Municipal Corporation,Belapur,Scholarship to economically weaker section school students from first standard to college students ,5339867,,,,
8,Thane,Navi Mumbai Municipal Corporation,Vashi,Scholarship to economically weaker section school students from first standard to college students ,9733421,,,,
9,Thane,Navi Mumbai Municipal Corporation,Airoli,Scholarship to widow or divorcee ,1397063,,,,
10,Thane,Navi Mumbai Municipal Corporation,Koperkhairane,Scholarship to widow or divorcee ,1887814,,,,
11,Thane,Navi Mumbai Municipal Corporation,Ghansoli,Scholarship to widow or divorcee ,1673034,,,,
12,Thane,Navi Mumbai Municipal Corporation,Turbhe,Scholarship to widow or divorcee ,1161481,,,,
13,Thane,Navi Mumbai Municipal Corporation,Digha,Scholarship to widow or divorcee ,1233470,,,,
14,Thane,Navi Mumbai Municipal Corporation,Nerul,Scholarship to widow or divorcee ,1484655,,,,
15,Thane,Navi Mumbai Municipal Corporation,Belapur,Scholarship to widow or divorcee ,568743,,,,
16,Thane,Navi Mumbai Municipal Corporation,Vashi,Scholarship to widow or divorcee ,899110,,,,
17,Thane,Navi Mumbai Municipal Corporation,Airoli,Scholarship to Meritorious students from backword class,4691131,,,,
18,Thane,Navi Mumbai Municipal Corporation,Koperkhairane,Scholarship to Meritorious students from backword class,6548536,,,,
19,Thane,Navi Mumbai Municipal Corporation,Ghansoli,Scholarship to Meritorious students from backword class,6916501,,,,
20,Thane,Navi Mumbai Municipal Corporation,Turbhe,Scholarship to Meritorious students from backword class,5210664,,,,
21,Thane,Navi Mumbai Municipal Corporation,Digha,Scholarship to Meritorious students from backword class,5276248,,,,
22,Thane,Navi Mumbai Municipal Corporation,Nerul,Scholarship to Meritorious students from backword class,6822906,,,,
23,Thane,Navi Mumbai Municipal Corporation,Belapur,Scholarship to Meritorious students from backword class,3560023,,,,
24,Thane,Navi Mumbai Municipal Corporation,Vashi,Scholarship to Meritorious students from backword class,2182182,,,,
25,Thane,Navi Mumbai Municipal Corporation,Airoli,Scholarship to Project affected persons from first standard to college students,927907,,,,
26,Thane,Navi Mumbai Municipal Corporation,Koperkhairane,Scholarship to Project affected persons from first standard to college students,3085303,,,,
27,Thane,Navi Mumbai Municipal Corporation,Ghansoli,Scholarship to Project affected persons from first standard to college students,3898824,,,,
28,Thane,Navi Mumbai Municipal Corporation,Turbhe,Scholarship to Project affected persons from first standard to college students,2892905,,,,
29,Thane,Navi Mumbai Municipal Corporation,Digha,Scholarship to Project affected persons from first standard to college students,4000,,,,
30,Thane,Navi Mumbai Municipal Corporation,Nerul,Scholarship to Project affected persons from first standard to college students,3922833,,,,
31,Thane,Navi Mumbai Municipal Corporation,Belapur,Scholarship to Project affected persons from first standard to college students,4365963,,,,
32,Thane,Navi Mumbai Municipal Corporation,Vashi,Scholarship to Project affected persons from first standard to college students,2807721,,,,
33,Thane,Navi Mumbai Municipal Corporation,Airoli,Scholarship to children of safai kamgar and contractual staff of Corporation,2634123,,,,
34,Thane,Navi Mumbai Municipal Corporation,Koperkhairane,Scholarship to children of safai kamgar and contractual staff of Corporation,3724020,,,,
35,Thane,Navi Mumbai Municipal Corporation,Ghansoli,Scholarship to children of safai kamgar and contractual staff of Corporation,2960503,,,,
36,Thane,Navi Mumbai Municipal Corporation,Turbhe,Scholarship to children of safai kamgar and contractual staff of Corporation,2190967,,,,
37,Thane,Navi Mumbai Municipal Corporation,Digha,Scholarship to children of safai kamgar and contractual staff of Corporation,1893396,,,,
38,Thane,Navi Mumbai Municipal Corporation,Nerul,Scholarship to children of safai kamgar and contractual staff of Corporation,3018094,,,,
39,Thane,Navi Mumbai Municipal Corporation,Belapur,Scholarship to children of safai kamgar and contractual staff of Corporation,3594821,,,,
40,Thane,Navi Mumbai Municipal Corporation,Vashi,Scholarship to children of safai kamgar and contractual staff of Corporation,2630916,,,,
41,Thane,Navi Mumbai Municipal Corporation,Koperkhairane,Scholarship to children of stone quarry and other labours in corporation area,383167,,,,
42,Thane,Navi Mumbai Municipal Corporation,Ghansoli,Scholarship to children of stone quarry and other labours in corporation area,44795,,,,
43,Thane,Navi Mumbai Municipal Corporation,Turbhe,Scholarship to children of stone quarry and other labours in corporation area,55194,,,,
44,Thane,Navi Mumbai Municipal Corporation,Nerul,Scholarship to children of stone quarry and other labours in corporation area,67593,,,,
45,Thane,Navi Mumbai Municipal Corporation,Belapur,Scholarship to children of stone quarry and other labours in corporation area,75193,,,,
46,Thane,Navi Mumbai Municipal Corporation,Vashi,Scholarship to children of stone quarry and other labours in corporation area,169183,,,,
